,address,code,name,state,zone,coordinates
6284,,RKSN,RAJKHARSAWAN JN,,,"[85.811158, 22.733525]"
6285,,MMV,MAHALI MARUP,,,"[85.879316, 22.757135]"
6286,,SINI,SINI JN,,,"[85.94702600000001, 22.78946]"
6287,,BRBS,BIRBANS,,,"[86.01393866000001, 22.793974640000002]"
6288,,WADI,WADI,,,"[76.99154999999999, 17.054312]"
6289,,MPK,CHENNAI PARK,,,"[80.27285, 13.080627]"
6290,,MSF,CHENNAI FORT,,,"[80.28293599999999, 13.08354]"
6291,,MSB,CHENNAI BEACH,,,"[80.291601, 13.09034]"
6292,,RPM,ROYAPURAM,,,"[80.29315199999999, 13.103503]"
6293,,WST,WASHERMANPET,,,"[80.28302000000001, 13.1092227]"
6294,,TIM,TIMMANACHERLA,,,"[77.394077, 15.163466000000001]"
6295,,NKDO,NAKKANADODDI,,,"[77.47667899999999, 15.165309]"
6296,,PLU,PATAKOTTACHERU,,,"[77.521795, 15.172077]"
6297,,GY,GOOTY JN,,,"[77.625823, 15.149208]"
6298,,GYJ,GOOTY JUNCTION CABIN,,,"[77.650955, 15.140041]"
6299,,JKO,JAKKALACHERUVU,,,"[77.726953, 15.109121]"
6300,,RLO,RAYALCHERUVU,,,"[77.82103500000001, 15.055957000000001]"
6301,,VML,VEMULAPADU,,,"[77.85137900000001, 15.022098]"
6302,,JUR,JUTTURU,,,"[77.898103, 14.978847]"
6303,,KMQA,KOMALI,,,"[77.927597, 14.936387]"
6304,,TU,TADIPATRI,,,"[77.978985, 14.907558000000002]"
6305,,CLPE,CHALLAVARIPALLI,,,"[78.034438, 14.876728]"
6306,,VRN,VANGANUR,,,"[78.080906, 14.847442]"
6307,,RLL,REGADIPALLI,,,"[78.136002, 14.813572]"
6308,,KDP,KONDAPURAM,,,"[78.193462, 14.773549]"
6309,,MUM,MANGAPATNAM,,,"[78.2607534143, 14.7366964885]"
6310,,CIN,CHINTAKUNTA,,,"[78.3238797852, 14.7197004131]"
6311,,MOO,MUDDANURU,,,"[78.395393, 14.688414999999999]"
6312,,KMH,KALAMALIA,,,"[78.470174, 14.667107]"
6313,,YA,YERRAGUNTLA,,,"[78.534003, 14.642328000000001]"
